row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRẢ,,471.097.974.166,494.773.150.395,,,471097974166.0,494773150395.0
310,310,310,I. Nợ ngắn hạn,,398.138.661.527,427.461.005.655,,,398138661527.0,427461005655.0
311,311,311,1. Phải trả người bán ngắn hạn,16.1,71.143.661.816,89.526.713.858,,161.0,71143661816.0,89526713858.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,16.2,27.699.078.892,36.819.603.367,,162.0,27699078892.0,36819603367.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,11.358.637.499,13.888.399.320,,17.0,11358637499.0,13888399320.0
314,314,314,4. Phải trả người lao động,,50.105.315.042,53.492.964.490,,,50105315042.0,53492964490.0
315,315,315,5. Chi phí phải trả ngắn hạn,18,27.487.593.327,18.952.832.672,,18.0,27487593327.0,18952832672.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,20,12.359.658.146,6.981.365.874,,20.0,12359658146.0,6981365874.0
319,319,319,7. Phải trả ngắn hạn khác,19,62.198.595.577,53.295.371.771,,19.0,62198595577.0,53295371771.0
320,320,320,8. Vay ngắn hạn,22,112.550.093.254,118.264.163.852,,22.0,112550093254.0,118264163852.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",21,23.236.027.974,36.239.590.451,,21.0,23236027974.0,36239590451.0
330,330,330,II. Nợ dài hạn,,72.959.312.639,67.312.144.740,,,72959312639.0,67312144740.0
331,331,331,1. Phải trả người bán dài hạn,,330.480.000,330.480.000,,,330480000.0,330480000.0
337,337,337,2. Phải trả dài hạn khác,19,33.729.762.193,25.157.590.693,,19.0,33729762193.0,25157590693.0
338,338,338,3. Vay dài hạn,22,1.410.952.078,5.008.236.578,,22.0,1410952078.0,5008236578.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,32.3,19.744.271.826,18.832.354.023,,323.0,19744271826.0,18832354023.0
343,343,343,5. Quỹ phát triển khoa học và công nghệ,,17.743.846.542,17.983.483.446,,,17743846542.0,17983483446.0
