row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,Bán hàng hóa,73.010.369.414,44.463.475.957,,,73010369414.0,44463475957.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty liên kết,Bán hàng hóa,3.898.536.897,3.725.010.158,,,3898536897.0,3725010158.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty liên kết,Doanh thu bán hàng và cung cấp dịch vụ,963.309.738,-,,,963309738.0,
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật Cái Lân,Công ty liên kết,Doanh thu bán cây mầm,563.263.200,-,,,563263200.0,
Công ty TNHH MTV Hợp Tác Lao Động và Dịch Vụ Vinafor,Công ty TNHH MTV Hợp Tác Lao Động và Dịch Vụ Vinafor,Công ty TNHH MTV Hợp Tác Lao Động và Dịch Vụ Vinafor,Công ty con,Cho thuê văn phòng và các dịch vụ phụ trợ khác,407.038.368,-,,,407038368.0,
Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Kon Hà Nùng,Công ty liên kết,Bán hàng hóa,369.702.630,-,,,369702630.0,
Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,Công ty liên kết,Doanh thu bán hàng và cung cấp dịch vụ,222.123.000,391.069.722,,,222123000.0,391069722.0
Công ty Cổ phần giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần giống Lâm nghiệp vùng Bắc Bộ,Công ty con,Doanh thu dịch vụ nội bộ,243.414.460,254.689.960,,,243414460.0,254689960.0
Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty con,Doanh thu bán hàng và cung cấp dịch vụ,74.406.750,-,,,74406750.0,
Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty liên kết,Doanh thu bán hàng và cung cấp dịch vụ,47.970.309,49.579.043,,,47970309.0,49579043.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,79.800.134.766,48.883.824.840,,,79800134766.0,48883824840.0
