row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dư vốncổ phầnVND,Cổ phiếu quỹVND,Chênh lệchty giá hối đoaiVND,LNSTchưa phân phốiVND,Lợi ích cố đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dư vốncổ phầnVND,numeric__Cổ phiếu quỹVND,numeric__Chênh lệchty giá hối đoaiVND,numeric__LNSTchưa phân phốiVND,numeric__Lợi ích cố đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tai ngày 1 tháng1 năm 2019,Tai ngày 1 tháng1 năm 2019,Tai ngày 1 tháng1 năm 2019,5.416.113.340.000,245.949.492.805,-,119.103.575.688,8.255.509.576.829,1.827.251.260,14.038.503.236.582,5416113340000.0,245949492805.0,,119103575688.0,8255509576829.0,1827251260.0,14038503236582.0
Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,-,-,-,-,3.806.761.193.483,583.933.611,3.807.345.127.094,,,,,3806761193483.0,583933611.0,3807345127094.0
Chia cổ tức(Thuyết minh 24),Chia cổ tức(Thuyết minh 24),Chia cổ tức(Thuyết minh 24),-,-,-,-,(541.611.334.000),-,(541.611.334.000),,,,,-541611334000.0,,-541611334000.0
Mua lai cổ phiếu quỹ,Mua lai cổ phiếu quỹ,Mua lai cổ phiếu quỹ,-,-,(2.347.121.362.620),-,-,-,(2.347.121.362.620),,,-2347121362620.0,,,,-2347121362620.0
Chênh lệch quyđổi ngoại tệ cáchoạt động ởnước ngoài,Chênh lệch quyđổi ngoại tệ cáchoạt động ởnước ngoài,Chênh lệch quyđổi ngoại tệ cáchoạt động ởnước ngoài,-,-,-,(54.283.836.995),-,-,(54.283.836.995),,,,-54283836995.0,,,-54283836995.0
Tai ngày 31tháng 12 năm2019,Tai ngày 31tháng 12 năm2019,Tai ngày 31tháng 12 năm2019,5.416.113.340.000,245.949.492.805,(2.347.121.362.620),64.819.738.693,11.520.659.436.312,2.411.184.871,14.902.831.830.061,5416113340000.0,245949492805.0,-2347121362620.0,64819738693.0,11520659436312.0,2411184871.0,14902831830061.0
Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,-,-,-,-,68.591.150.827,74.184.307,68.665.335.134,,,,,68591150827.0,74184307.0,68665335134.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(1.829.539.234),(1.829.539.234),,,,,,-1829539234.0,-1829539234.0
Chênh lệch quyđổi ngoại tệ cáchoạt động ởnước ngoài,Chênh lệch quyđổi ngoại tệ cáchoạt động ởnước ngoài,Chênh lệch quyđổi ngoại tệ cáchoạt động ởnước ngoài,-,-,-,8.731.359.157,-,-,8.731.359.157,,,,8731359157.0,,,8731359157.0
Tai ngày 31 tháng12 năm 2020,Tai ngày 31 tháng12 năm 2020,Tai ngày 31 tháng12 năm 2020,5.416.113.340.000,245.949.492.805,(2.347.121.362.620),73.551.097.850,11.589.250.587.139,655.829.944,14.978.398.985.118,5416113340000.0,245949492805.0,-2347121362620.0,73551097850.0,11589250587139.0,655829944.0,14978398985118.0
