row_label_raw,row_label_full,col_0,Năm 2024VND,Năm 2023VND,numeric__Năm 2024VND,numeric__Năm 2023VND
Thu nhập từ cổ tức,Thu nhập từ cổ tức,Thu nhập từ cổ tức,Thu nhập từ cổ tức,Thu nhập từ cổ tức,,
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Thu nhập từ cổ tức > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,7.652.055.000,7.652.055.000,7652055000.0,7652055000.0
Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Thu nhập từ cổ tức > Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,Công ty Cổ phần Phục vụ Mặt đất Sài Gòn,7.652.055.000,7.652.055.000,7652055000.0,7652055000.0
Mua động cơ trong năm,Mua động cơ trong năm,Mua động cơ trong năm,Mua động cơ trong năm,Mua động cơ trong năm,,
Vietjet Air IVB No.I Limited,Mua động cơ trong năm > Vietjet Air IVB No.I Limited,Vietjet Air IVB No.I Limited,628.828.200.000,1.209.264.000.000,628828200000.0,1209264000000.0
Công ty TNHH Victoria Academy,Mua động cơ trong năm > Công ty TNHH Victoria Academy,Công ty TNHH Victoria Academy,378.500.000.000,608.400.000.000,378500000000.0,608400000000.0
Công ty TNHH Victoria Academy,Mua động cơ trong năm > Công ty TNHH Victoria Academy,Công ty TNHH Victoria Academy,1.007.328.200.000,1.817.664.000.000,1007328200000.0,1817664000000.0
Doanh thu từ bán động cơ,Doanh thu từ bán động cơ,Doanh thu từ bán động cơ,Doanh thu từ bán động cơ,Doanh thu từ bán động cơ,,
Vietjet Air IVB No.I Limited,Doanh thu từ bán động cơ > Vietjet Air IVB No.I Limited,Vietjet Air IVB No.I Limited,-,613.600.000.000,,613600000000.0
Vietjet Air IVB No.I Limited,Doanh thu từ bán động cơ > Vietjet Air IVB No.I Limited,Vietjet Air IVB No.I Limited,-,613.600.000.000,,613600000000.0
"Lãi từ cho vay, tiền gửi ngân hàng","Lãi từ cho vay, tiền gửi ngân hàng","Lãi từ cho vay, tiền gửi ngân hàng","Lãi từ cho vay, tiền gửi ngân hàng","Lãi từ cho vay, tiền gửi ngân hàng",,
"Thai Vietjet Air Joint Stock Co., Ltd.","Lãi từ cho vay, tiền gửi ngân hàng > Thai Vietjet Air Joint Stock Co., Ltd.","Thai Vietjet Air Joint Stock Co., Ltd.",419.137.724.739,302.113.830.681,419137724739.0,302113830681.0
Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,"Lãi từ cho vay, tiền gửi ngân hàng > Ngân hàng TMCP Phát triển TP. Hồ Chí Minh",Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,8.577.652.632,5.408.904.110,8577652632.0,5408904110.0
