row_label_raw,row_label_full,col_0,Quyền khai thác thương mại tòa nhà VND,Quyền khai thác thương mại đường bay VND,Khác VND,Cộng VND,numeric__Quyền khai thác thương mại tòa nhà VND,numeric__Quyền khai thác thương mại đường bay VND,numeric__Khác VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
01/01/2025,NGUYÊN GIÁ > 01/01/2025,01/01/2025,-,-,48.711.908.433,48.711.908.433,,,48711908433.0,48711908433.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,3.585.182.962.963,1.746.360.897.756,1.402.550.000,5.332.946.410.719,3585182962963.0,1746360897756.0,1402550000.0,5332946410719.0
Thanh lý trong năm,NGUYÊN GIÁ > Thanh lý trong năm,Thanh lý trong năm,-,-,(830.099.000),(830.099.000),,,-830099000.0,-830099000.0
31/12/2025,NGUYÊN GIÁ > 31/12/2025,31/12/2025,3.585.182.962.963,1.746.360.897.756,49.284.359.433,5.380.828.220.152,3585182962963.0,1746360897756.0,49284359433.0,5380828220152.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
01/01/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > 01/01/2025,01/01/2025,-,-,(36.220.274.282),(36.220.274.282),,,-36220274282.0,-36220274282.0
Hao mòn trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Hao mòn trong năm,Hao mòn trong năm,(10.292.709.006),(49.311.990.475),(2.521.711.284),(62.126.410.765),-10292709006.0,-49311990475.0,-2521711284.0,-62126410765.0
Thanh lý trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý trong năm,Thanh lý trong năm,-,-,830.099.000,830.099.000,,,830099000.0,830099000.0
31/12/2025,GIÁ TRỊ HAO MÒN LỦY KẾ > 31/12/2025,31/12/2025,(10.292.709.006),(49.311.990.475),(37.911.886.566),(97.516.586.047),-10292709006.0,-49311990475.0,-37911886566.0,-97516586047.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
01/01/2025,GIÁ TRỊ CÒN LẠI > 01/01/2025,01/01/2025,-,-,12.491.634.151,12.491.634.151,,,12491634151.0,12491634151.0
31/12/2025,GIÁ TRỊ CÒN LẠI > 31/12/2025,31/12/2025,3.574.890.253.957,1.697.048.907.281,11.372.472.867,5.283.311.634.105,3574890253957.0,1697048907281.0,11372472867.0,5283311634105.0
