row_label_raw,row_label_full,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản:,01,col_2,11.599.653.741.335,10.967.899.391.486,numeric__01,numeric__col_2,numeric__11.599.653.741.335,numeric__10.967.899.391.486
Khấu hao và phân bổ,Khấu hao và phân bổ,Khấu hao và phân bổ,02,,2.095.159.644.941,2.054.586.864.472,2.0,,2095159644941.0,2054586864472.0
Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,02,V.13,245.905.562.556,245.540.115.225,2.0,,245905562556.0,245540115225.0
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,03,,27.455.919.490,26.862.358.183,3.0,,27455919490.0,26862358183.0
Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,Các khoản dự phòng(Lãi)/lỗ chênh lệch tỷ giá do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,04,,(13.348.631.457),7.448.121.735,4.0,,-13348631457.0,7448121735.0
"Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay","Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay","Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay",05,,79.410.837.608,65.791.983.817,5.0,,79410837608.0,65791983817.0
"Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay","Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay","Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay",05,,(1.414.893.583.079),(1.543.397.439.960),5.0,,-1414893583079.0,-1543397439960.0
"Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay","Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay","Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay",05,,(32.002.663.848),80.631.298.646,5.0,,-32002663848.0,80631298646.0
"Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay","Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay","Lỗ từ thanh lý/xóa số tài sản cố định vàxây dựng cơ bản dở dangThu nhập từ cổ tức, lãi tiền gửi và lãi/lỗtừ hoạt động đầu tư khác(Lãi)/lỗ chia từ công ty liên kết,liên doanhChi phí lãi vay",06,VI.4,279.424.561.295,354.094.837.255,6.0,,279424561295.0,354094837255.0
Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,08,,12.866.765.388.841,12.259.457.530.859,8.0,,12866765388841.0,12259457530859.0
Biến động các khoản phải thu,Biến động các khoản phải thu,Biến động các khoản phải thu,09,,332.752.274.996,(244.987.138.316),9.0,,332752274996.0,-244987138316.0
