row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Đến 1 thángTriệu đồng,Từ 1 - 3 thángTriệu đồng,Từ 3 - 6 thángTriệu đồng,Từ 6 - 12 thángTriệu đồng,Từ 7 - 5 nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Đến 1 thángTriệu đồng,numeric__Từ 1 - 3 thángTriệu đồng,numeric__Từ 3 - 6 thángTriệu đồng,numeric__Từ 6 - 12 thángTriệu đồng,numeric__Từ 7 - 5 nămTriệu đồng,numeric__Trên 5 nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỹ","Tài sản > Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,2.574.284,-,-,-,-,-,-,2.574.284,,2574284.0,,,,,,,2574284.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.460.795,-,-,-,-,-,6.460.795,,,6460795.0,,,,,,6460795.0
Tiền gửi và chc vay các TCTD khác - gộp,Tài sản > Tiền gửi và chc vay các TCTD khác - gộp,Tiền gửi và chc vay các TCTD khác - gộp,731,-,13.284.623,4.235.402,-,-,-,-,17.520.756,731.0,,13284623.0,4235402.0,,,,,17520756.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,1.424.854,-,-,-,-,-,1.424.854,,,1424854.0,,,,,,1424854.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,7.824.716,-,83.215.711,27.646.672,21.619.017,19.328.027,22.962.512,69.558,182.666.213,7824716.0,,83215711.0,27646672.0,21619017.0,19328027.0,22962512.0,69558.0,182666213.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,4.063.794,4.905.000,7.247.976,2.521.964,11.689.997,17.384.025,6.723.159,54.535.915,,4063794.0,4905000.0,7247976.0,2521964.0,11689997.0,17384025.0,6723159.0,54535915.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,194.602,-,-,-,-,-,-,194.602,,194602.0,,,,,,,194602.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,808.486,-,-,-,-,-,-,808.486,,808486.0,,,,,,,808486.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,66.433,10.540.521,921.516,1.240.944,2.072.809,913.686,-,-,15.755.909,66433.0,10540521.0,921516.0,1240944.0,2072809.0,913686.0,,,15755909.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,7.891.880,18.181.687,110.212.499,40.370.994,26.213.790,31.931.710,40.346.537,6.792.717,281.941.814,7891880.0,18181687.0,110212499.0,40370994.0,26213790.0,31931710.0,40346537.0,6792717.0,281941814.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN,Nợ phải trả > Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,676,6.901,16.416,2.022,-,-,26.015,,,676.0,6901.0,16416.0,2022.0,,,26015.0
Tiền gửi và vay TCTD khác,Nợ phải trả > Tiền gửi và vay TCTD khác,Tiền gửi và vay TCTD khác,-,-,17.116.718,9.643.755,4.965.634,913.686,560.625,-,33.200.418,,,17116718.0,9643755.0,4965634.0,913686.0,560625.0,,33200418.0
