row_label_raw,row_label_full,Bên liên quan,Số dư,Phải thu/Phải trả,Phải thu/Phải trả_1,numeric__Số dư,numeric__Phải thu/Phải trả,numeric__Phải thu/Phải trả_1
Bên liên quan,Bên liên quan,Bên liên quan,Số dư,Ngày 31 tháng 12năm 2017Triệu đồng,Ngày 31 tháng 12năm 2016Triệu đồng,,,
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Tiền gửi không kỳ hạn tại Ngân hàng mẹ,689.943,415.234,,689943.0,415234.0
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Tiền gửi có kỳ hạn tại Ngân hàng mẹ,477.000,1.797.080,,477000.0,1797080.0
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Tiền gửi có kỳ hạn của Ngân hàng mẹ tại VPB FC,500.000,2.200.000,,500000.0,2200000.0
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Phải thu mua bán nợ,-,1.037.893,,,1037893.0
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Phải thu hoạt động tư vấn,17.518,10.767,,17518.0,10767.0
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Lãi phải thu mua bán nợ,-,10.051,,,10051.0
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Dự thu hợp đồng phải sinh,6.348,-,,6348.0,
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Dự chỉ hợp đồng phải sinh,4.526,24.406,,4526.0,24406.0
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Lãi dự thu tiền gửi,2.493,12.203,,2493.0,12203.0
VPB FC – Công ty con,Bên liên quan > VPB FC – Công ty con,VPB FC – Công ty con,Lãi dự chỉ tiền gửi,83,351,,83.0,351.0
VPB AMC – Công ty con,Bên liên quan > VPB AMC – Công ty con,VPB AMC – Công ty con,Tiền gửi không kỳ hạn tại Ngân hàng mẹ,78.507,71.995,,78507.0,71995.0
VPB AMC – Công ty con,Bên liên quan > VPB AMC – Công ty con,VPB AMC – Công ty con,Tiền gửi có kỳ hạn tại Ngân hàng mẹ,15.000,10.000,,15000.0,10000.0
VPB AMC – Công ty con,Bên liên quan > VPB AMC – Công ty con,VPB AMC – Công ty con,Lãi dự chỉ tiền gửi,69,134,,69.0,134.0
"Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Bên liên quan > Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc",Tiền gửi tại Ngân hàng,40.962,20.246,,40962.0,20246.0
