row_label_raw,row_label_full,I.,Doanh thu,numeric__Doanh thu
1.,1.,1.,Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoàiDoanh thu lãi từ nội bộ,
2.,2.,2.,Doanh thu từ hoạt động dịch vụ,
3.,3.,3.,Doanh thu từ hoạt động kinh doanh khác,
II.,II.,II.,Chi phí,
1.,1.,1.,Chi phí lãiChi phí lãi khách hàng bên ngoàiChi phí lãi nội bộ,
2.,2.,2.,Chi phí khẩu hao tài sản cố định,
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,
Kết quả kinh doanh trước chi phí dự phòng rủi roChi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi roChi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi roChi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi roChi phí dự phòng rủi ro,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,
III.,III.,III.,Tài sản,
1.,1.,1.,Tiền mặt,
2.,2.,2.,Tài sản cố định,
3.,3.,3.,Tài sản khác,
IV.,IV.,IV.,Nợ phải trả,
1.,1.,1.,Nợ phải trả khách hàng bên ngoài,
2.,2.,2.,Nợ phải trả nội bộ,
3.,3.,3.,Nợ phải trả khác,
