row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2023Triệu đồng,Ngày 31 tháng 12năm 2022Triệu đồng,numeric__Ngày 31 tháng 12năm 2023Triệu đồng,numeric__Ngày 31 tháng 12năm 2022Triệu đồng
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,77.365.805,55.269.218,77365805.0,55269218.0
- Bằng VND,- Bằng VND,- Bằng VND,75.114.334,52.515.077,75114334.0,52515077.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,2.251.471,2.754.141,2251471.0,2754141.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,364.378.264,248.368.185,364378264.0,248368185.0
- Bằng VND,- Bằng VND,- Bằng VND,363.501.889,246.091.870,363501889.0,246091870.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,876.375,2.276.315,876375.0,2276315.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,83.763,67.894,83763.0,67894.0
- Bằng VND,- Bằng VND,- Bằng VND,55.778,10.696,55778.0,10696.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,27.985,57.198,27985.0,57198.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,1.730.418,3.547.987,1730418.0,3547987.0
- Bằng VND,- Bằng VND,- Bằng VND,1.666.917,2.606.571,1666917.0,2606571.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,63.501,941.416,63501.0,941416.0
,,,443.558.250,307.253.284,443558250.0,307253284.0
