row_label_raw,row_label_full,col_0,Thuyết minh,Năm 2024Triệu đồng,Năm 2023Triệu đồng,numeric__Thuyết minh,numeric__Năm 2024Triệu đồng,numeric__Năm 2023Triệu đồng
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
Mua sắm tài sản cố định,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Mua sắm tài sản cố định,Mua sắm tài sản cố định,,(59.296),(107.210),,-59296.0,-107210.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán tài sản cố định","Tiền thu từ thanh lý, nhượng bán tài sản cố định",,1.715,965,,1715.0,965.0
"Tiền chi từ thanh lý, nhượng bán tài sản cố định","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi từ thanh lý, nhượng bán tài sản cố định","Tiền chi từ thanh lý, nhượng bán tài sản cố định",,(259),-,,-259.0,
"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,12.801,3.147,,12801.0,3147.0
Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(45.039),(103.098),,-45039.0,-103098.0
LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,,-,35.897.546,,,35897546.0
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",,(7.935.832),(7.933.924),,-7935832.0,-7933924.0
Tiền thu được do bán cổ phiếu quỹ,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu được do bán cổ phiếu quỹ,Tiền thu được do bán cổ phiếu quỹ,,-,302.196,,,302196.0
Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động tài chính,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động tài chính,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động tài chính,,(7.935.832),28.265.818,,-7935832.0,28265818.0
Lưu chuyển tiền thuần trong năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,49.335.314,39.622.299,,49335314.0,39622299.0
Tiền và các khoản tương đương tiền đầu năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,,93.667.470,54.045.171,,93667470.0,54045171.0
Tiền và các khoản tương đương tiền cuối năm,LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,37,143.002.784,93.667.470,37.0,143002784.0,93667470.0
CÁC GIAO DỊCH PHI TIÊN TỆ TRỌNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỌNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỌNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỌNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỌNG YẾU TRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỌNG YẾU TRONG NĂM,,,
Giảm thẳng dư vốn cổ phần do phát hành cổ phiếu quỹ theo ESOP từ nguồn cổ phiếu quỹ,CÁC GIAO DỊCH PHI TIÊN TỆ TRỌNG YẾU TRONG NĂM > Giảm thẳng dư vốn cổ phần do phát hành cổ phiếu quỹ theo ESOP từ nguồn cổ phiếu quỹ,Giảm thẳng dư vốn cổ phần do phát hành cổ phiếu quỹ theo ESOP từ nguồn cổ phiếu quỹ,,-,(581.270),,,-581270.0
