row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thăng dưvốn cố phânTriệu đồng,Quỹ dự trữbố sungvốn điều lệTriệu đồng,Quỹ dựphòng tài chínhTriệu đồng,Quỹ đầu tưphát triểnTriệu đồng,Cổ phiếuquỹTriệu đồng,Lợi nhuậnchưa phânphốiTriệu đồng,Lợi ích củacố đôngkhông kiểm soátTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thăng dưvốn cố phânTriệu đồng,numeric__Quỹ dự trữbố sungvốn điều lệTriệu đồng,numeric__Quỹ dựphòng tài chínhTriệu đồng,numeric__Quỹ đầu tưphát triểnTriệu đồng,numeric__Cổ phiếuquỹTriệu đồng,numeric__Lợi nhuậnchưa phânphốiTriệu đồng,numeric__Lợi ích củacố đôngkhông kiểm soátTriệu đồng,numeric__Tổng cộngTriệu đồng
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,79.339.236,23.992.546,2.351.225,9.813.299,68.758,-,19.065.969,5.164.494,139.795.527,79339236.0,23992546.0,2351225.0,9813299.0,68758.0,,19065969.0,5164494.0,139795527.0
Lợi nhuận/(Lỗ) thuần trong năm,Lợi nhuận/(Lỗ) thuần trong năm,Lợi nhuận/(Lỗ) thuần trong năm,-,-,-,-,-,-,15.778.795,208.031,15.986.826,,,,,,,15778795.0,208031.0,15986826.0
Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,Trích lập các quỹ trong năm,-,-,1.461.250,1.442.341,-,-,(2.903.591),-,-,,,1461250.0,1442341.0,,,-2903591.0,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(571.259),-,-,-,-,(571.259),,,,-571259.0,,,,,-571259.0
Chia cổ tức năm 2023 cho cổ đông,Chia cổ tức năm 2023 cho cổ đông,Chia cổ tức năm 2023 cho cổ đông,-,-,-,-,-,-,(7.935.832),-,(7.935.832),,,,,,,-7935832.0,,-7935832.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,2.238,(2.238),-,,,,,,,2238.0,-2238.0,
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,79.339.236,23.992.546,3.812.475,10.684.381,68.758,-,24.007.579,5.370.287,147.275.262,79339236.0,23992546.0,3812475.0,10684381.0,68758.0,,24007579.0,5370287.0,147275262.0
Lợi nhuận/(Lỗ) thuần trong năm,Lợi nhuận/(Lỗ) thuần trong năm,Lợi nhuận/(Lỗ) thuần trong năm,-,-,-,-,-,-,23.989.930,364.666,24.354.596,,,,,,,23989930.0,364666.0,24354596.0
Phát hành cổ phiếu để tăng vốnđiều lệ,Phát hành cổ phiếu để tăng vốnđiều lệ,Phát hành cổ phiếu để tăng vốnđiều lệ,-,-,-,-,-,-,5.967.992,6.650.780,12.618.772,,,,,,,5967992.0,6650780.0,12618772.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,2.136.167,1.900.133,-,-,(4.036.300),-,-,,,2136167.0,1900133.0,,,-4036300.0,,
Chia cổ tức năm 2024 cho cổ đông,Chia cổ tức năm 2024 cho cổ đông,Chia cổ tức năm 2024 cho cổ đông,-,-,-,-,-,-,(3.968.172),-,(3.968.172),,,,,,,-3968172.0,,-3968172.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,8.618,(13.447),(4.829),,,,,,,8618.0,-13447.0,-4829.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,79.339.236,23.992.546,5.948.642,12.584.514,68.758,-,45.969.647,12.372.286,180.275.629,79339236.0,23992546.0,5948642.0,12584514.0,68758.0,,45969647.0,12372286.0,180275629.0
