row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRẢ,,3.301.298.269.662,3.017.502.506.777,,,3301298269662.0,3017502506777.0
310,310,310,I. Nợ ngắn hạn,,1.363.218.262.303,1.458.617.513.531,,,1363218262303.0,1458617513531.0
311,311,311,1. Phải trả người bán ngắn hạn,19.1,81.902.497.249,89.822.143.595,,191.0,81902497249.0,89822143595.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19.2,332.461.987.466,47.621.262.407,,192.0,332461987466.0,47621262407.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,107.283.761.344,56.864.496.873,,20.0,107283761344.0,56864496873.0
314,314,314,4. Phải trả người lao động,,13.037.498.055,8.026.756.759,,,13037498055.0,8026756759.0
315,315,315,5. Chi phí phải trả ngắn hạn,21,172.852.114.829,309.526.350.264,,21.0,172852114829.0,309526350264.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,,7.951.253.039,4.658.777.650,,,7951253039.0,4658777650.0
319,319,319,7. Phải trả ngắn hạn khác,22,127.710.961.561,109.467.141.545,,22.0,127710961561.0,109467141545.0
320,320,320,8. Vay ngắn hạn,23,480.004.223.419,792.573.119.097,,23.0,480004223419.0,792573119097.0
322,322,322,"9. Quỹ khen thưởng, phúc lợi",,40.013.965.341,40.057.465.341,,,40013965341.0,40057465341.0
330,330,330,II. Nợ dài hạn,,1.938.080.007.359,1.558.884.993.246,,,1938080007359.0,1558884993246.0
333,333,333,1. Chi phí phải trả dài hạn,21,-,2.709.419.858,,21.0,,2709419858.0
337,337,337,2. Phải trả dài hạn khác,22,165.516.257.048,176.038.888.882,,22.0,165516257048.0,176038888882.0
338,338,338,3. Vay dài hạn,23,1.768.099.976.782,1.372.418.945.530,,23.0,1768099976782.0,1372418945530.0
341,341,341,4. Thuế thu nhập hoãn lại phải trả,31.3,3.423.629.077,6.175.062.259,,313.0,3423629077.0,6175062259.0
342,342,342,5. Dự phòng phải trả dài hạn,,1.040.144.452,1.542.676.717,,,1040144452.0,1542676717.0
