row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,"Thiết bị, văn phòng",Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,"numeric__Thiết bị, văn phòng",numeric__Tài sản khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,275.391,309.978,26.556,22.925,634.850,275391.0,309978.0,26556.0,22925.0,634850.0
Mua mới trong năm,NGUYÊN GIÁ > Mua mới trong năm,Mua mới trong năm,-,4.542,324,-,4.866,,4542.0,324.0,,4866.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,743,697,-,1.440,,743.0,697.0,,1440.0
Phân loại sang bất động sản đầu tư,NGUYÊN GIÁ > Phân loại sang bất động sản đầu tư,Phân loại sang bất động sản đầu tư,(160.082),-,-,-,(160.082),-160082.0,,,,-160082.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(927),(78),-,(1.005),,-927.0,-78.0,,-1005.0
Khác,NGUYÊN GIÁ > Khác,Khác,(78),-,-,,(78),-78.0,,,,-78.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,115.231,314.336,27.499,22.925,479.991,115231.0,314336.0,27499.0,22925.0,479991.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,28.509,183.843,20.181,14.982,247.515,28509.0,183843.0,20181.0,14982.0,247515.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,3.715,22.357,2.663,2.019,30.754,3715.0,22357.0,2663.0,2019.0,30754.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(866),(47),-,(913),,-866.0,-47.0,,-913.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,32.224,205.334,22.797,17.001,277.356,32224.0,205334.0,22797.0,17001.0,277356.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,246.882,126.135,6.375,7.943,387.335,246882.0,126135.0,6375.0,7943.0,387335.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,83.007,109.002,4.702,5.924,202.635,83007.0,109002.0,4702.0,5924.0,202635.0
