row_label_raw,row_label_full,Tên công ty,31/12/2021,31/12/2021_1,31/12/2021_2,1/1/2021,1/1/2021_1,1/1/2021_2,numeric__31/12/2021,numeric__31/12/2021_1,numeric__31/12/2021_2,numeric__1/1/2021,numeric__1/1/2021_1,numeric__1/1/2021_2
Tên công ty,Tên công ty,Tên công ty,% sở hữuvà % quyềnbiểu quyết,Giá gốcVND,Dự phòngVND,% sở hữuvà % quyềnbiểu quyết,Giá gốcVND,Dự phòngVND,,,,,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,,,,,
▪ Công ty Cổ phần Sài Gòn Lương Thực,Các công ty con > ▪ Công ty Cổ phần Sài Gòn Lương Thực,▪ Công ty Cổ phần Sài Gòn Lương Thực,"51,00%",33.029.591.929,(33.029.591.929),"51,00%",33.029.591.929,(33.029.591.929),0.51,33029591929.0,-33029591929.0,0.51,33029591929.0,-33029591929.0
▪ Công ty Cổ phần Lương thực Nam Trung Bộ,Các công ty con > ▪ Công ty Cổ phần Lương thực Nam Trung Bộ,▪ Công ty Cổ phần Lương thực Nam Trung Bộ,"66,27%",47.786.267.013,(24.931.671.051),"66,27%",47.786.267.013,(22.017.238.394),0.6627,47786267013.0,-24931671051.0,0.6627,47786267013.0,-22017238394.0
▪ Công ty Cổ phần Lương thực Thực phẩmSafoco (*),Các công ty con > ▪ Công ty Cổ phần Lương thực Thực phẩmSafoco (*),▪ Công ty Cổ phần Lương thực Thực phẩmSafoco (*),"51,30%",208.306.301.000,-,"51,30%",208.306.301.000,-,0.513,208306301000.0,,0.513,208306301000.0,
▪ Công ty Cổ phần Bao bì Tiền Giang,Các công ty con > ▪ Công ty Cổ phần Bao bì Tiền Giang,▪ Công ty Cổ phần Bao bì Tiền Giang,"60,00%",2.142.000.000,(563.509.083),"60,00%",2.142.000.000,-,0.6,2142000000.0,-563509083.0,0.6,2142000000.0,
▪ Công ty Cổ phần Xuất nhập khẩu Nông sảnThực phẩm Cà Mau,Các công ty con > ▪ Công ty Cổ phần Xuất nhập khẩu Nông sảnThực phẩm Cà Mau,▪ Công ty Cổ phần Xuất nhập khẩu Nông sảnThực phẩm Cà Mau,"62,05%",40.956.000.000,(40.956.000.000),"62,05%",40.956.000.000,(40.956.000.000),0.6204999999999999,40956000000.0,-40956000000.0,0.6204999999999999,40956000000.0,-40956000000.0
▪ Công ty Cổ phần Tô Châu,Các công ty con > ▪ Công ty Cổ phần Tô Châu,▪ Công ty Cổ phần Tô Châu,"65,40%",65.400.000.000,(65.400.000.000),"65,40%",65.400.000.000,(65.400.000.000),0.654,65400000000.0,-65400000000.0,0.654,65400000000.0,-65400000000.0
▪ Công ty Cổ phần Lương thực Bình Định,Các công ty con > ▪ Công ty Cổ phần Lương thực Bình Định,▪ Công ty Cổ phần Lương thực Bình Định,"51,00%",69.345.300.334,-,"51,00%",69.345.300.334,-,0.51,69345300334.0,,0.51,69345300334.0,
▪ Công ty Cổ phần Lương thực Hậu Giang,Các công ty con > ▪ Công ty Cổ phần Lương thực Hậu Giang,▪ Công ty Cổ phần Lương thực Hậu Giang,"53,28%",28.771.200.000,(28.771.200.000),"53,28%",28.771.200.000,(28.771.200.000),0.5328,28771200000.0,-28771200000.0,0.5328,28771200000.0,-28771200000.0
▪ Công ty Cổ phần Xây lắp Cơ khí và Lương thựcThực phẩm,Các công ty con > ▪ Công ty Cổ phần Xây lắp Cơ khí và Lương thựcThực phẩm,▪ Công ty Cổ phần Xây lắp Cơ khí và Lương thựcThực phẩm,"60,00%",83.301.480.000,-,"60,00%",83.301.480.000,-,0.6,83301480000.0,,0.6,83301480000.0,
▪ Công ty Cổ phần Lương thực Quảng Ngãi,Các công ty con > ▪ Công ty Cổ phần Lương thực Quảng Ngãi,▪ Công ty Cổ phần Lương thực Quảng Ngãi,"51,00%",5.100.000.000,(5.100.000.000),"51,00%",5.100.000.000,(5.100.000.000),0.51,5100000000.0,-5100000000.0,0.51,5100000000.0,-5100000000.0
▪ Công ty Cổ phần Lương thực Thành phốHồ Chí Minh,Các công ty con > ▪ Công ty Cổ phần Lương thực Thành phốHồ Chí Minh,▪ Công ty Cổ phần Lương thực Thành phốHồ Chí Minh,"59,78%",152.509.000.000,(115.944.120.296),"59,78%",152.509.000.000,(104.171.810.519),0.5978,152509000000.0,-115944120296.0,0.5978,152509000000.0,-104171810519.0
▪ Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Các công ty con > ▪ Công ty Cổ phần Xuất nhập khẩu Kiên Giang,▪ Công ty Cổ phần Xuất nhập khẩu Kiên Giang,"83,31%",211.848.000.000,-,"83,31%",211.848.000.000,-,0.8331000000000001,211848000000.0,,0.8331000000000001,211848000000.0,
,,,,948.495.140.276,(314.696.092.359),,948.495.140.276,(299.445.840.842),,948495140276.0,-314696092359.0,,948495140276.0,-299445840842.0
