row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Bất động sản dở dang (i),Bất động sản dở dang (i),Bất động sản dở dang (i),14.853.292.963.107,15.529.871.298.859,14853292963107.0,15529871298859.0
Dịch vụ quản lý dự án,Dịch vụ quản lý dự án,Dịch vụ quản lý dự án,31.398.107.844,23.413.613.771,31398107844.0,23413613771.0
"Nguyên liệu, vật liệu xây dựng tồn kho","Nguyên liệu, vật liệu xây dựng tồn kho","Nguyên liệu, vật liệu xây dựng tồn kho",15.343.607.286,7.769.181.734,15343607286.0,7769181734.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,14.900.034.678.237,15.561.054.094.364,14900034678237.0,15561054094364.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(69.834.596.776),(71.184.905.000),-69834596776.0,-71184905000.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,14.830.200.081.461,15.489.869.189.364,14830200081461.0,15489869189364.0
(i) Bất động sản dở dang:Dự án Izumi (*) (** ),(i) Bất động sản dở dang:Dự án Izumi (*) (** ),(i) Bất động sản dở dang:Dự án Izumi (*) (** ),8.299.807.706.532,7.170.224.475.000,8299807706532.0,7170224475000.0
Dự án Waterpoint Giai đoạn 1 (*) (** ),Dự án Waterpoint Giai đoạn 1 (*) (** ),Dự án Waterpoint Giai đoạn 1 (*) (** ),3.516.413.489.870,3.629.482.420.949,3516413489870.0,3629482420949.0
Dự án Waterpoint Giai đoạn 2 (*),Dự án Waterpoint Giai đoạn 2 (*),Dự án Waterpoint Giai đoạn 2 (*),1.454.233.813.371,1.374.809.313.449,1454233813371.0,1374809313449.0
Dự án Cần Thơ (**),Dự án Cần Thơ (**),Dự án Cần Thơ (**),507.113.721.136,344.521.155.892,507113721136.0,344521155892.0
Dự án Hoàng Nam (Akari) (**),Dự án Hoàng Nam (Akari) (**),Dự án Hoàng Nam (Akari) (**),409.510.918.803,528.967.742.227,409510918803.0,528967742227.0
Dự án Phú Hữu,Dự án Phú Hữu,Dự án Phú Hữu,239.587.937.105,218.013.323.242,239587937105.0,218013323242.0
Dự án Nguyên Sơn,Dự án Nguyên Sơn,Dự án Nguyên Sơn,106.117.771.299,111.425.245.042,106117771299.0,111425245042.0
Dự án Phước Long B - Mở rộng,Dự án Phước Long B - Mở rộng,Dự án Phước Long B - Mở rộng,99.142.430.839,93.144.184.937,99142430839.0,93144184937.0
Dự án VSIP Hải Phòng,Dự án VSIP Hải Phòng,Dự án VSIP Hải Phòng,68.032.274.419,68.945.164.391,68032274419.0,68945164391.0
Dự án Tân Thuận Đông (Dự án Ehome 5),Dự án Tân Thuận Đông (Dự án Ehome 5),Dự án Tân Thuận Đông (Dự án Ehome 5),66.503.172.247,53.301.438.888,66503172247.0,53301438888.0
Dự án Areco (Flora Novia) (**),Dự án Areco (Flora Novia) (**),Dự án Areco (Flora Novia) (**),28.758.807.524,125.989.180.775,28758807524.0,125989180775.0
Dự án Long An 36ha,Dự án Long An 36ha,Dự án Long An 36ha,14.368.820.256,7.935.042.868,14368820256.0,7935042868.0
Dự án Bình Dương (Dự án Ehome 4),Dự án Bình Dương (Dự án Ehome 4),Dự án Bình Dương (Dự án Ehome 4),12.960.800.537,12.960.800.537,12960800537.0,12960800537.0
Dự án Phú Đức,Dự án Phú Đức,Dự án Phú Đức,2.584.069.675,7.809.024.658,2584069675.0,7809024658.0
Dự án Paragon Đại Phước Khác,Dự án Paragon Đại Phước Khác,Dự án Paragon Đại Phước Khác,-,1.713.692.073.551,,1713692073551.0
Dự án Paragon Đại Phước Khác,Dự án Paragon Đại Phước Khác,Dự án Paragon Đại Phước Khác,28.157.229.494,68.650.712.453,28157229494.0,68650712453.0
