row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Nhận góp vốn từ HĐHTKD,Ngắn hạn > Nhận góp vốn từ HĐHTKD,Nhận góp vốn từ HĐHTKD,1.455.810.629.975,1.776.161.409.045,1455810629975.0,1776161409045.0
- Bên liên quan,Ngắn hạn > - Bên liên quan,- Bên liên quan,1.455.810.629.975,1.716.161.409.045,1455810629975.0,1716161409045.0
- Công ty THNH Đầu tư và Phát triển Du lịch Khang Hưng,Ngắn hạn > - Công ty THNH Đầu tư và Phát triển Du lịch Khang Hưng,- Công ty THNH Đầu tư và Phát triển Du lịch Khang Hưng,-,60.000.000.000,,60000000000.0
Phải trả các khoản đầu tư,Ngắn hạn > Phải trả các khoản đầu tư,Phải trả các khoản đầu tư,52.286.114.777,296.879.563.440,52286114777.0,296879563440.0
- Bên liên quan (Thuyết minh số 30),Ngắn hạn > - Bên liên quan (Thuyết minh số 30),- Bên liên quan (Thuyết minh số 30),-,245.000.000.000,,245000000000.0
- Công ty Cổ phần Đầu tư Hạ tầng và Đô thị Dầu khí,Ngắn hạn > - Công ty Cổ phần Đầu tư Hạ tầng và Đô thị Dầu khí,- Công ty Cổ phần Đầu tư Hạ tầng và Đô thị Dầu khí,46.726.595.200,46.726.595.200,46726595200.0,46726595200.0
- Khác,Ngắn hạn > - Khác,- Khác,5.559.519.577,5.152.968.240,5559519577.0,5152968240.0
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",130.486.662.138,54.901.065.214,130486662138.0,54901065214.0
Thu hộ tiền cho chủ đầu tư dự án,Ngắn hạn > Thu hộ tiền cho chủ đầu tư dự án,Thu hộ tiền cho chủ đầu tư dự án,5.532.347.020,6.064.161.132,5532347020.0,6064161132.0
Đặt cọc từ khách hàng mua căn hộ,Ngắn hạn > Đặt cọc từ khách hàng mua căn hộ,Đặt cọc từ khách hàng mua căn hộ,2.871.769.496,1.260.687.336,2871769496.0,1260687336.0
Khác,Ngắn hạn > Khác,Khác,3.789.508.148,5.622.463.130,3789508148.0,5622463130.0
,,,1.650.777.031.554,2.140.889.349.297,1650777031554.0,2140889349297.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Nhận góp vốn từ HĐHTKD từ bên liên quan,Dải hạn > Nhận góp vốn từ HĐHTKD từ bên liên quan,Nhận góp vốn từ HĐHTKD từ bên liên quan,-,490.689.080.280,,490689080280.0
"Nhận ký quỹ, ký cược dài hạn","Dải hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",2.006.433.875.777,7.768.024.271,2006433875777.0,7768024271.0
,,,2.006.433.875.777,498.457.104.551,2006433875777.0,498457104551.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,3.657.210.907.331,2.639.346.453.848,3657210907331.0,2639346453848.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả bên liên quan (Thuyết minh số 30),Trong đó: > Phải trả bên liên quan (Thuyết minh số 30),Phải trả bên liên quan (Thuyết minh số 30),3.582.443.100.995,2.480.243.237.078,3582443100995.0,2480243237078.0
Phải trả bên khác,Trong đó: > Phải trả bên khác,Phải trả bên khác,74.767.806.336,159.103.216.770,74767806336.0,159103216770.0
